first name,Email ID,Quantity,Events,Attendee Status,College Unknownme,How did you come to know about this event?,how do you know about this event ?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,dummy family income,family income in lakh,Expected salary (Lakh),Leadership- skills
birdie,birdie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,late g. n. sapkal college of engineering,Unknown,Unknown,,Engineering ,2023,Valsad,7.5,7,0-2 Lakh,0-2 ,2,8,yes
clifford,clifford@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"symbiosis institute of technology, pune",Unknown,Unknown,,Data Science and Analyst,2026,Ambala,8.3,6,0-2 Lakh,0-2 ,2,7,yes
alfonso,alfonso@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"mit academy of engineering ,alandi",Unknown,Unknown,,Students,2025,Chandigarh,6.4,5,0-2 Lakh,0-2 ,2,20,no
shawn,shawn@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Unknown,Unknown,,Engineering ,2025,Faridabad,7.5,6,0-2 Lakh,0-2 ,2,9,no
marlene,marlene@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Unknown,Unknown,,Students,2024,Gurugram,7.7,6,0-2 Lakh,0-2 ,2,13,no
alvin,alvin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Civil Engineering,2024,Hisar,9.9,6,2-5 Lakh,02-May,5,24,yes
essie,essie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Unknown,Unknown,,Students,2023,Jind,7.6,3,5-7 Lakh,05-Jul,7,17,no
dann,dann@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2023,Kaithal,7.9,3,7 Lakh+,7,7,11,no
gwendolyn,gwendolyn@xyz.com,1,Internship Program(IP) Success Conclave,Attending,silicon institute of technology,Unknown,Unknown,,Students,2024,Rewari,9.2,3,0-2 Lakh,0-2 ,2,9,no
krystle,krystle@xyz.com,1,Internship Program(IP) Success Conclave,Attending,adhiyamaan college of engineering,Unknown,Unknown,,Students,2025,Rohtak,7.6,7,0-2 Lakh,0-2 ,2,8,yes
cheryle,cheryle@xyz.com,1,Internship Program(IP) Success Conclave,Attending,don bosco college of engineering fatorda goa,Unknown,Unknown,,Students,2023,Sirsa,8.7,7,2-5 Lakh,02-May,5,7,yes
pam,pam@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Unknown,Unknown,,Students,2023,Sonipat,9.5,3,5-7 Lakh,05-Jul,7,25,no 
peg,peg@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st xavier's college ,Unknown,Unknown,,Students,2025,Chamba,6.9,6,7 Lakh+,7,7,21,no 
lovella,lovella@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Unknown,Unknown,,Students,2024,Kangra,9.2,3,0-2 Lakh,0-2 ,2,30,yes
quincy,quincy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2026,Hamirpur,6.9,6,0-2 Lakh,0-2 ,2,24,yes
meghan,meghan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,Engineering ,2024,kullu,7.2,8,0-2 Lakh,0-2 ,2,8,no
mariah,mariah@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Students,2023,Mandi,7.5,8,0-2 Lakh,0-2 ,2,19,no
loretta,loretta@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Intern,2023,Una,7.5,5,0-2 Lakh,0-2 ,2,17,yes
rosalind,rosalind@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st.francis institute of technology,Unknown,Unknown,,Students,2025,Anantnag,6.9,6,0-2 Lakh,0-2 ,2,18,no
dixie,dixie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"symbiosis institute of technology, pune",Unknown,Unknown,,Intern,2023,Gulmarg,7.3,6,0-2 Lakh,0-2 ,2,8,no
dena,dena@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"mit academy of engineering ,alandi",Unknown,Unknown,,Engineering ,2024,Jammu,6.7,8,0-2 Lakh,0-2 ,2,8,no
barry,barry@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Unknown,Unknown,,Students,2025,Punch,8.7,6,0-2 Lakh,0-2 ,2,8,yes
jocelyn,jocelyn@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Unknown,Unknown,,Graphic designer ,2023,Rajouri,6.7,3,0-2 Lakh,0-2 ,2,8,yes
doug,doug@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Intern,2024,Srinagar,9,5,0-2 Lakh,0-2 ,2,9,no 
courtney,courtney@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Unknown,Unknown,,Students,2025,Udhampur,7.2,6,0-2 Lakh,0-2 ,2,9,no 
major,major@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"thakur institute of maUnknowngement studies, career development & research - [timscdr]",Unknown,Unknown,,BE,2023,Badmi,8.5,5,0-2 Lakh,0-2 ,2,17,yes
cordie,cordie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,lokmanya tilak college of engineering koparkhairane Unknownvi mumbai,Unknown,Unknown,,Students,2026,Ballari,6.5,3,0-2 Lakh,0-2 ,2,13,yes
bette,bette@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Mechanical Engineer,2024,Bengaluru,6.6,8,0-2 Lakh,0-2 ,2,11,no
rafael,rafael@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Unknown,Unknown,,Intern,2025,Belgavi,9.5,8,0-2 Lakh,0-2 ,2,15,no
margarita,margarita@xyz.com,1,Internship Program(IP) Success Conclave,Attending,chhattisgarh swami vivekaUnknownnda technical university teaching department bhilai,Unknown,Unknown,,Web Development,2024,Bidar,8.1,8,0-2 Lakh,0-2 ,2,19,no
hattie,hattie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,silicon institute of technology,Unknown,Unknown,,Data Science and Analyst,2023,Hasan,9.7,5,0-2 Lakh,0-2 ,2,18,yes
reynaldo,reynaldo@xyz.com,1,Internship Program(IP) Success Conclave,Attending,adhiyamaan college of engineering,Unknown,Unknown,,Students,2023,Kolar,9.3,5,0-2 Lakh,0-2 ,2,12,no
nicolas,nicolas@xyz.com,1,Internship Program(IP) Success Conclave,Attending,don bosco college of engineering fatorda goa,Unknown,Unknown,,Students,2025,Mysuru,9.1,3,0-2 Lakh,0-2 ,2,23,no
curt,curt@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Unknown,Unknown,,Intern,2024,Kochi,7.6,6,0-2 Lakh,0-2 ,2,8,no
dustin,dustin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st xavier's college ,Unknown,Unknown,,Students,2024,Kollam,7.8,8,0-2 Lakh,0-2 ,2,9,no
octavio,octavio@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"s.i.e.s. graduate school of technology, nerul, Unknownvi mumbai",Unknown,Unknown,,IT,2023,Bhopal,8.5,5,0-2 Lakh,0-2 ,2,13,yes
yuko,yuko@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2023,Dhar,8.7,8,0-2 Lakh,0-2 ,2,19,yes
ernest,ernest@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Intern,2025,Indore,8.3,8,0-2 Lakh,0-2 ,2,25,no 
troy,troy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,Asst. Professor,2024,Guna,9.4,3,0-2 Lakh,0-2 ,2,22,no 
minnie,minnie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,CSE,2025,Gwalior,8.6,6,0-2 Lakh,0-2 ,2,6,yes
myra,myra@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Engineering ,2024,Narwar,8.5,8,0-2 Lakh,0-2 ,2,9,yes
shawna,shawna@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2023,Orchha,9.1,8,7 Lakh+,7,7,20,no
jeffry,jeffry@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2023,Sagar,7.7,5,0-2 Lakh,0-2 ,2,15,no
tyler,tyler@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Intern,2024,Ujjain,7.2,3,0-2 Lakh,0-2 ,2,19,yes
loreta,loreta@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Students,2024,Vidisha,7.6,5,0-2 Lakh,0-2 ,2,13,no
lona,lona@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2023,Akola,7.3,3,0-2 Lakh,0-2 ,2,11,no
toni,toni@xyz.com,1,Internship Program(IP) Success Conclave,Attending,new horizon institute of technology and maUnknowngement ,Unknown,Unknown,,Students,2025,Bhandara,9.4,6,0-2 Lakh,0-2 ,2,16,no
agnes,agnes@xyz.com,1,Internship Program(IP) Success Conclave,Attending,late g. n. sapkal college of engineering,Unknown,Unknown,,MTech,2024,Bhsawal,6.6,3,0-2 Lakh,0-2 ,2,10,no
wesley,wesley@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"symbiosis institute of technology, pune",Unknown,Unknown,,Students,2025,Bid,6.6,3,0-2 Lakh,0-2 ,2,10,yes
oscar,oscar@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Unknown,Unknown,,Founder,2023,Dhule,7.7,5,0-2 Lakh,0-2 ,2,12,no 
darwin,darwin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Unknown,Unknown,,Students,2026,Jalgaon,8.1,3,0-2 Lakh,0-2 ,2,20,no 
wiley,wiley@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Intern,2023,Kalyan,7.9,6,0-2 Lakh,0-2 ,2,21,yes
elaine,elaine@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Unknown,Unknown,,Students,2025,Thane,7.1,6,0-2 Lakh,0-2 ,2,9,yes
rosalie,rosalie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Students,2024,Navi Mumbai,8.3,3,0-2 Lakh,0-2 ,2,9,no
brittney,brittney@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2024,Mumbai,7.7,8,0-2 Lakh,0-2 ,2,8,no
margret,margret@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2023,Nagpur,8,3,0-2 Lakh,0-2 ,2,7,no
vicente,vicente@xyz.com,1,Internship Program(IP) Success Conclave,Attending,d y patil institute of mca and maUnknowngement akurdi pune,Unknown,Unknown,,Students,2026,Kolhapur,9.4,8,7 Lakh+,7,7,18,no
vara,vara@xyz.com,1,Skill and Employability Enhancement,Attending,wilson college ,Unknown,Unknown,,Students,2024,Sangrur,7.3,8,0-2 Lakh,0-2 ,2,8,no
shaikh,shaikh@xyz.com,1,Skill and Employability Enhancement,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2024,Jaipur,8.4,8,0-2 Lakh,0-2 ,2,21,no
yadav,yadav@xyz.com,1,Skill and Employability Enhancement,Attending,d y patil institute of mca and maUnknowngement akurdi pune,Unknown,Unknown,,Students,2024,Jhalwar,9.2,3,0-2 Lakh,0-2 ,2,24,no
gupta,gupta@xyz.com,1,Skill and Employability Enhancement,Attending,st xavier's college ,Unknown,Unknown,,Students,2024,Sikar,7.6,3,0-2 Lakh,0-2 ,2,17,no 
ashok,ashok@xyz.com,1,Skill and Employability Enhancement,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Students,2024,Gonda,7.2,8,0-2 Lakh,0-2 ,2,8,yes
dhara,dhara@xyz.com,1,Skill and Employability Enhancement,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2024,Ghazipur,7.1,3,0-2 Lakh,0-2 ,2,9,no
prakash,prakash@xyz.com,1,Skill and Employability Enhancement,Attending,st.francis institute of technology,Unknown,Unknown,,Students,2023,Ghaziabad,8,8,0-2 Lakh,0-2 ,2,9,no
sunil,sunil@xyz.com,1,Skill and Employability Enhancement,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Students,2024,Kanpur,8.8,6,0-2 Lakh,0-2 ,2,12,no 
shah,shah@xyz.com,1,Skill and Employability Enhancement,Attending,dkte society's textile and engineering institute ichalkaranji,Unknown,Unknown,,Students,2023,Lucknow,9.3,3,0-2 Lakh,0-2 ,2,23,yes
kishor,kishor@xyz.com,1,Skill and Employability Enhancement,Attending,"vidyalankar institute of technology, mumbai",Email | Cloud Counselage Website,Email ,,Students,2026,Palashi,9.9,5,0-2 Lakh,0-2 ,2,15,yes
sawarkar,sawarkar@xyz.com,1,Skill and Employability Enhancement,Attending,g h raisoni institut of engineering and technology pune,Youtube | Email,Youtube ,,Students,2024,Siliguri,7.1,3,0-2 Lakh,0-2 ,2,19,no 
kailas,kailas@xyz.com,1,Skill and Employability Enhancement,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Students,2023,Talmuk,7.4,8,0-2 Lakh,0-2 ,2,12,yes
sopan,sopan@xyz.com,1,Skill and Employability Enhancement,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Students,2023,Talmuk,8.3,3,0-2 Lakh,0-2 ,2,10,no
sharma,sharma@xyz.com,1,Skill and Employability Enhancement,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2024,Siuri,7.4,6,0-2 Lakh,0-2 ,2,10,no
ranjeet,ranjeet@xyz.com,1,Skill and Employability Enhancement,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Students,2025,Sagar,9.7,6,0-2 Lakh,0-2 ,2,26,no
ramesh,ramesh@xyz.com,1,Skill and Employability Enhancement,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Students,2025,Satna,7.9,8,0-2 Lakh,0-2 ,2,20,no
dilip,dilip@xyz.com,1,Skill and Employability Enhancement,Attending,st.francis institute of technology,Unknown,Unknown,,Students,2024,Vidisha,7.1,6,0-2 Lakh,0-2 ,2,9,no
gajanan,gajanan@xyz.com,1,Skill and Employability Enhancement,Attending,wilson college ,Unknown,Unknown,,Students,2025,Buldhana,8.5,5,0-2 Lakh,0-2 ,2,16,yes
singh,singh@xyz.com,1,Skill and Employability Enhancement,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Students,2024,Dhule,9.1,5,0-2 Lakh,0-2 ,2,21,yes
ankush,ankush@xyz.com,1,Skill and Employability Enhancement,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Students,2026,Nanded,9.1,8,7 Lakh+,7,7,17,no
nilesh,nilesh@xyz.com,1,Skill and Employability Enhancement,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2023,Mahe,8.9,6,0-2 Lakh,0-2 ,2,11,no
prajapati,prajapati@xyz.com,1,Skill and Employability Enhancement,Attending,a. c. patil college of engineering,Unknown,Unknown,,Students,2023,Barmer,7.9,8,0-2 Lakh,0-2 ,2,25,yes
rajaram,rajaram@xyz.com,1,Skill and Employability Enhancement,Attending,chhattisgarh swami vivekaUnknownnda technical university teaching department bhilai,Unknown,Unknown,,Students,2025,Kota,9.6,8,0-2 Lakh,0-2 ,2,21,no
nagendra,nagendra@xyz.com,1,Skill and Employability Enhancement,Attending,don bosco college of engineering fatorda goa,Unknown,Unknown,,Students,2023,Ahemdabad,7.2,3,0-2 Lakh,0-2 ,2,9,no
ajaykumar,ajaykumar@xyz.com,1,Skill and Employability Enhancement,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2023,Junagadh,6.6,6,0-2 Lakh,0-2 ,2,6,no 
subhash,subhash@xyz.com,1,Skill and Employability Enhancement,Attending,"vidyalankar institute of technology, mumbai",Unknown,Unknown,,Students,2025,Kheda,6.7,5,0-2 Lakh,0-2 ,2,7,yes
mahendra,mahendra@xyz.com,1,Skill and Employability Enhancement,Attending,"vidyalankar institute of technology, mumbai",Unknown,Unknown,,Students,2024,Valsad,8.5,5,0-2 Lakh,0-2 ,2,7,no
nita,nita@xyz.com,1,Skill and Employability Enhancement,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2024,Aligarh,7.7,6,0-2 Lakh,0-2 ,2,8,no
patel,patel@xyz.com,1,Skill and Employability Enhancement,Attending,st.francis institute of technology,Unknown,Unknown,,Students,2025,Gonda,7.4,3,0-2 Lakh,0-2 ,2,9,no
ramchandra,ramchandra@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,wilson college ,Unknown,Unknown,,Students,2025,Deoria,9.2,6,0-2 Lakh,0-2 ,2,20,no
ravindra,ravindra@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,lokmanya tilak college of engineering koparkhairane Unknownvi mumbai,Unknown,Unknown,,Students,2026,Lucknow,6.5,8,0-2 Lakh,0-2 ,2,9,no 
khedekar,khedekar@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"s.i.e.s. graduate school of technology, nerul, Unknownvi mumbai",Unknown,Unknown,,Students,2024,Malda,7.2,6,0-2 Lakh,0-2 ,2,23,no
rajendra,rajendra@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2025,Santipur,6.5,8,0-2 Lakh,0-2 ,2,7,yes
tanaji,tanaji@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Students,2025,Titagrah,7.6,6,0-2 Lakh,0-2 ,2,8,no
dattatray,dattatray@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,new horizon institute of technology and maUnknowngement ,Unknown,Unknown,,Students,2024,Ujjain,8.7,3,0-2 Lakh,0-2 ,2,13,no
vasant,vasant@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,a. c. patil college of engineering,Unknown,Unknown,,Students,2023,Bhandara,8.5,8,0-2 Lakh,0-2 ,2,18,yes
ramnath,ramnath@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Students,2025,Mumbai,6.6,8,0-2 Lakh,0-2 ,2,22,yes
bhausaheb,bhausaheb@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"ld college of engineering, ahmedabad, gujarat ",Unknown,Unknown,,Students,2023,Barmer,8,8,0-2 Lakh,0-2 ,2,12,no 
dinkar,dinkar@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"vidyalankar institute of technology, mumbai",Unknown,Unknown,,Students,2023,Amreli,7.2,5,0-2 Lakh,0-2 ,2,8,no
subodh,subodh@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,st.francis institute of technology,Unknown,Unknown,,Students,2024,Morbi,9.3,6,0-2 Lakh,0-2 ,2,19,yes
komal,komal@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2025,Bhandara,6.7,8,0-2 Lakh,0-2 ,2,18,no
jadhav,jadhav@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Students,2024,Buldhana,7.9,5,0-2 Lakh,0-2 ,2,8,no
narayan,narayan@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2023,Jalgaon,7.6,5,0-2 Lakh,0-2 ,2,8,yes
kundan,kundan@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,ap shah institute of technology ,Unknown,Unknown,,Students,2024,Pali,8.7,8,0-2 Lakh,0-2 ,2,9,yes
namdeo,namdeo@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,don bosco college of engineering fatorda goa,Unknown,Unknown,,Students,2025,Sikar,9.1,3,0-2 Lakh,0-2 ,2,20,no
vilas,vilas@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,st.francis institute of technology,Unknown,Unknown,,Students,2025,Pali,7.3,6,0-2 Lakh,0-2 ,2,12,no 
rathod,rathod@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,don bosco college of engineering fatorda goa,Unknown,Unknown,,Students,2024,Siwan,9.1,6,0-2 Lakh,0-2 ,2,24,no 
adhvika.v,adhvika.v@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"s.i.e.s. graduate school of technology, nerul, Unknownvi mumbai",Unknown,Unknown,,Students,2026,Durg,8.2,5,0-2 Lakh,0-2 ,2,8,no
santhana,santhana@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,Students,2024,Diu,9.1,5,0-2 Lakh,0-2 ,2,7,no
kenil,kenil@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Students,2025,Delhi,7.4,3,0-2 Lakh,0-2 ,2,21,no
anghan,anghan@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2025,Panji,8.6,3,0-2 Lakh,0-2 ,2,24,no
rupapara,rupapara@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,Students,2024,Madgaon,9.2,5,0-2 Lakh,0-2 ,2,8,yes
garala,garala@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Students,2026,Ahemdabad,7.8,5,0-2 Lakh,0-2 ,2,19,yes
aarav,aarav@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"kle society's college of bca, rls institute, belagavi",Unknown,Unknown,,Students,2024,Amreli,7.9,5,0-2 Lakh,0-2 ,2,21,no 
kalkani,kalkani@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,new horizon institute of technology and maUnknowngement ,Unknown,Unknown,,Students,2025,Jamnagar,9.5,6,0-2 Lakh,0-2 ,2,14,yes
sawan,sawan@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"symbiosis institute of technology, pune",Unknown,Unknown,,Students,2024,Kheda,9.6,5,0-2 Lakh,0-2 ,2,8,no
akshita,akshita@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,a. c. patil college of engineering,Unknown,Unknown,,Students,2024,Nadiad,6.2,5,0-2 Lakh,0-2 ,2,8,yes
dharti,dharti@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,wilson college ,Unknown,Unknown,,Students,2023,Navsari,9.1,6,0-2 Lakh,0-2 ,2,15,no
sujal,sujal@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,dkte society's textile and engineering institute ichalkaranji,Unknown,Unknown,,Students,2025,Rajkot,9.5,6,0-2 Lakh,0-2 ,2,18,no
vasava,vasava@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2025,Valsad,8.4,5,0-2 Lakh,0-2 ,2,5,no
patel neel,patelneel@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Unknown,Unknown,,Students,2023,Jaipur,6.6,8,0-2 Lakh,0-2 ,2,6,yes
bhavani,bhavani@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"vishwakarma institute of technology, pune",Unknown,Unknown,,Students,2026,Jalor,6.7,3,0-2 Lakh,0-2 ,2,7,no 
rony,rony@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"priyadarshini college of engineering, Unknowngpur ",Unknown,Unknown,,Students,2023,Jodhpur,8.3,3,0-2 Lakh,0-2 ,2,8,yes
darji,darji@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,new horizon institute of technology and maUnknowngement ,Unknown,Unknown,,Students,2025,Pali,8.9,3,0-2 Lakh,0-2 ,2,6,no
rohith,rohith@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,"mit academy of engineering ,alandi",Unknown,Unknown,,Students,2024,Amreli,8.5,3,0-2 Lakh,0-2 ,2,20,yes
bhuvanagiri,bhuvanagiri@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,a. c. patil college of engineering,Unknown,Unknown,,Students,2023,Dwarka,8.8,6,0-2 Lakh,0-2 ,2,5,no
venkata,venkata@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,wilson college ,Unknown,Unknown,,Students,2026,Sirsa,7.9,8,0-2 Lakh,0-2 ,2,7,no
krunal nimesh,krunalnimesh@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,dkte society's textile and engineering institute ichalkaranji,Unknown,Unknown,,Students,2025,Chamba,8.3,5,0-2 Lakh,0-2 ,2,5,no
dhyey,dhyey@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,chhattisgarh swami vivekaUnknownnda technical university teaching department bhilai,Unknown,Unknown,,Students,2024,kullu,7.7,6,0-2 Lakh,0-2 ,2,13,yes
adityakumar,adityakumar@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,silicon institute of technology,Unknown,Unknown,,Students,2023,Mandi,9.9,8,0-2 Lakh,0-2 ,2,15,no 
neel,neel@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,st xavier's college ,Unknown,Unknown,,Students,2025,Baramula,7.4,8,0-2 Lakh,0-2 ,2,20,no
dharmin,dharmin@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,pillai college of engineering new panvel,Unknown,Unknown,,Students,2024,Ballari,7.5,8,0-2 Lakh,0-2 ,2,6,yes
dev,dev@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,st xavier's college ,Unknown,Unknown,,Students,2024,Bengaluru,6.5,3,0-2 Lakh,0-2 ,2,8,yes
heetkumar,heetkumar@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,dkte society's textile and engineering institute ichalkaranji,Unknown,Unknown,,Students,2025,Mysuru,7.3,3,0-2 Lakh,0-2 ,2,9,no
pal,pal@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,g h raisoni institut of engineering and technology pune,Unknown,Unknown,,Students,2024,Kollam,8.7,8,0-2 Lakh,0-2 ,2,5,no
sonani,sonani@xyz.com,1,Talk on Skill and Employability Enhancement,Attending,government polytechnic gandhiUnknowngar,Unknown,Unknown,,Students,2023,Thrissur,6.7,5,0-2 Lakh,0-2 ,2,8,yes
